,Andhiyarkhore,Bamnidhi,Basantpur,Ghatora,Kelo,Kurubhata,Paramanpur,Rajim,Rampur,Simga,Sundargarh,Catchment1,Catchment2
09-06-2003,0,14.769,17.335,0,0,0,0,0,0,0,0,2.335,0
10-06-2003,0,14.397,15.95,0,0,0,0,0,0,0,0,1.247,0
11-06-2003,0,14.511,14.659,0,0,0,0,0,0,0,0,0.183,0
12-06-2003,0,14.145,13.977,0,0,0,0,0,0,0,0,0,0
13-06-2003,0,11.845,14.152,0,0,0,0,0,0,0,0,0.581,0
14-06-2003,0,9.656,14.226,0,0,0,0,0,0,0,0,1.551,0
15-06-2003,5,9.5,9,0,0,0,0,0,0,0,0,0,16.6626
16-06-2003,54.095,40.186,9.233,0,0,0,0,0,0,0,0,0,24.681
17-06-2003,6.733,100.717,28.17,0.112,0,0,0,0,0,0,10.527,0,1.8973
18-06-2003,3.999,43.285,38.233,0.112,0,0,0,0,0,0,11.626,0,30.2627
19-06-2003,0.5,43.675,30.277,0.303,0,0,0,0,0,0,16.89,0,22.7819
20-06-2003,5.269,46.898,28.676,0.728,2.86,0,0,0,0,0,800,0,48.141
21-06-2003,3.243,85.586,29.863,0.19,6.26,24.756,650,0,0,0,307.822,0,1160.09
22-06-2003,3.98,74,52,0.15,5,27,140,0,0,0,250,0,756.628
23-06-2003,2.069,58.466,54.582,0.124,3.51,32.07,568,0,0,0,64.24,0,0
24-06-2003,1,60.379,58.537,0.493,40,57.54,340,0,0,0,621.8,0,743.262
25-06-2003,1.1,75.576,51.112,2.81,8.83,41.33,142.003,0,0,0,371.9,0,273.611
26-06-2003,10.337,60.264,50.452,2.5,9.33,70.61,96.188,0,0,0,347.6,0,124.007
27-06-2003,49.719,50.394,49.918,4.614,9.33,91.26,92.981,0,0.8,0,230.5,0,43.182
28-06-2003,37.974,105.098,116.365,45,23.56,68.66,84.269,0,1,0,170.3,30.679,199.704
29-06-2003,20.5,190,245,28,28,95,150,0,1.2,0,675,78.859,0
30-06-2003,5.906,169.574,330.155,26,8.83,51.52,88.56,0,1.4,8.838,227.9,82.342,0
01-07-2003,7.841,125.748,260.643,33.5,5,58,60,3.714,1.2,9.243,120.22,60.362,73.059
02-07-2003,4.261,69.686,164.238,35,26.42,86.26,140,12.201,2,9.254,211.02,21.989,0
03-07-2003,5.657,85.112,162.67,26.092,9.306,95,100.612,6.782,2.2,9.884,253.3,27.204,8.946
04-07-2003,9.21,76.65,155.782,10,5.999,71.877,83.101,5.099,1.8,14.681,170.9,17.045,95.462
05-07-2003,37.65,115,152.141,16,6.992,93.29,57.563,5.493,1.9,20.545,120.4,5.437,3.922
06-07-2003,13,70,125,68,5,56,50,6.25,2.5,75,150,0.477,15.315
07-07-2003,9.038,47.705,263.043,22,6.433,33.48,55.116,5.366,2,65.148,72.28,117.407,0
08-07-2003,6.829,50.338,270.736,8,3.108,55.97,39.796,5.009,1.9,41.945,61.02,102.78,16.128
09-07-2003,3.323,45.969,244.943,5.89,38.458,30.07,31.54,19.014,1.9,69.724,102.2,97.912,0
10-07-2003,2.051,46.494,202.771,12.815,10.883,48.17,34.943,9.383,3.5,43.162,196.9,72.578,0
11-07-2003,9.317,85.676,247.598,15.266,27.072,69.06,41.197,56,5.898,80.582,135.6,87.338,0
12-07-2003,15.7,106.268,290.077,11,30.524,60.57,31.32,175.388,31.001,186.814,91.93,69.311,0
13-07-2003,12.9,80,295,33,20.6,68,85,100,55,220,100,0,0
14-07-2003,6.499,75.548,490.077,70,6.045,54.48,138.463,55.776,30.767,173.272,157.2,5.784,0
15-07-2003,12.195,72.28,520.394,39.395,9.448,80.06,105.879,49.943,59.307,72.811,325.6,44.807,0
16-07-2003,6.935,170.249,484.584,49,38.96,240.4,185.883,58.971,60,53.651,326.8,22.496,0
17-07-2003,9.583,76.025,487.608,30,12.307,128.5,90.864,38.833,60.162,49.727,229.9,118.357,195.625
18-07-2003,6.622,60.316,422.013,18,7.871,86.05,62.473,36.263,36.289,76.726,119.1,155.848,103.371
19-07-2003,2.862,60.174,328.639,11.07,2.966,63.9,50.936,65.196,18.316,103.747,82.36,118.532,0
20-07-2003,2.08,50,300,8,5,40,47,50,8,110,75,92.687,0
21-07-2003,1.817,110,282.336,7,3.205,84.58,35.792,31.469,8.746,86.573,49.8,18.826,30.988
22-07-2003,7.5,244.066,324.245,13.164,133.19,119.2,46.22,54.105,26.802,98.484,125.9,0,84.609
23-07-2003,7.422,318.897,747.379,120,38.796,187.8,78.868,76.89,26.802,178.848,352.876,268.615,90.153
24-07-2003,22.7,265.732,1006.83,50.058,42.449,110.7,140,83.705,39.937,373.374,297,409.131,153.519
25-07-2003,12.81,200.295,1293.51,40,20,216,115,200,39.029,774.836,329.5,652.716,349.462
26-07-2003,12.74,205.372,1571.52,41.33,14.455,106.1,580,460.02,28.685,953.618,427.6,579.001,264.073
27-07-2003,120.942,260,3000,32,90,175,600,325,222,1400,350,1375.02,749.578
28-07-2003,85.396,180.716,4728.85,48.572,46.497,95.03,170,477.265,719.981,1972.05,319.9,2249.63,858.606
29-07-2003,35.274,140.063,3814.33,40,26.828,76.24,125,125.062,222.457,1335.64,235.8,1063.66,1357.8
30-07-2003,16.924,100.202,2374.04,25,199,88.85,348.84,75.648,99.124,570.987,155.1,123.009,1504.69
31-07-2003,10.227,220.269,1692.62,28,80,71.93,300,50.648,93.87,315.129,144.6,306.105,1698.57
01-08-2003,5.982,145.6,1058.86,19,39.21,82,753.98,47.125,83.889,203.878,179.9,198.015,550.333
02-08-2003,3.541,144.1,856.806,15.77,34.63,53.24,395,278.665,98.584,175.788,191.1,238.424,954.78
03-08-2003,1.4,160,1800,15.64,119,165,550,800,1130,260,230,445.901,437.196
04-08-2003,1.386,263.227,2590.47,25.566,281,300.028,900,471.158,398.64,560.769,275.2,1002.82,286.231
05-08-2003,1.169,171.837,2313.57,20.452,114.02,293.2,250,1174.89,412.237,580.84,295.2,670.761,1391.64
06-08-2003,1.096,171.837,2800,18,43.02,167.6,155,836.934,292.657,550.873,207.4,774.497,842.754
07-08-2003,1.033,171.837,2231.69,32.479,24,139.8,240,220.609,275.801,611.012,116.9,284.794,592.508
08-08-2003,10.172,120.573,1823.59,17.41,9.82,80.8,210,201.954,183.383,530.02,89.17,304.683,554.591
09-08-2003,3.165,104.858,1294.24,13.678,7.79,57.47,139.288,197.36,69.711,401.009,77.86,252.916,121.534
10-08-2003,16,210,1249,19,85,110,100,790,180,380,150,224.222,246.967
11-08-2003,14.509,950.571,2180.97,22.249,301.61,273.4,455,451.959,345.285,434.496,171,241.67,706.259
12-08-2003,21.159,389.683,2948.14,100,85,191.8,435,536.209,466.58,670.481,224.2,919.823,1878.21
13-08-2003,20,338.677,2393.39,105,90.56,218.5,380,455.262,327.427,530.441,226.7,509.84,1130.01
14-08-2003,15,700.377,2292.13,170,130,211.5,325,493.471,323.678,692.582,275,136.308,1330.51
15-08-2003,24,350,2293,110,85,260,450,490,200,1050,600,341.089,1322.81
16-08-2003,19.573,327.165,3164.29,80,55.55,230.6,325,521.808,512.169,1631.41,315.2,911.013,1119.53
17-08-2003,17,165,3500,55.35,43,180,160,211,210,1075,230,1031.41,713.313
18-08-2003,3.348,114.251,2251.93,33.979,26.25,139,122.694,162.535,184.463,600.54,148.2,168.993,816.015
19-08-2003,3.546,99.892,1501.75,31.908,24.99,138.6,105.579,148.017,105.136,385.164,118.8,176.648,609.209
20-08-2003,1.373,216.454,1214.31,20.353,20,151,180,206.987,65.831,412.509,170,232.373,179.159
21-08-2003,1.035,103.408,1174.7,19,29.69,146.8,220,221.888,105.845,495.409,122.5,332.588,232.683
22-08-2003,24.349,90.28,1354.74,32,27.47,130.3,126.49,208.166,58.401,396.481,108.8,505.212,114.608
23-08-2003,41,220.863,1062.24,40,13.55,142,119.392,434.173,105.136,502.267,98.08,83.148,83.236
24-08-2003,45,350,2252,125,30,129,110,495,115,2160,90,983.834,351.475
25-08-2003,51.174,165.067,3735.78,90,27.63,143.5,88.582,505.996,160.761,3562.98,77.43,1299.07,223.272
26-08-2003,20.432,96.562,3980,50.416,9.89,132.1,83.677,343.073,99.955,1264.96,85.68,301.943,198.825
27-08-2003,9.084,91.559,2405.89,51.199,26.52,176.608,105.579,198.599,81.836,580.825,75.49,0,1016.7
28-08-2003,1.273,80.093,1596.8,45.944,25.77,159.1,122.146,4040.95,3990.11,438.97,294.384,0,1370.18
29-08-2003,190.859,800.797,17798,225,91.43,172.9,943.721,8448.9,10958.4,2663.49,245.7,5160.4,972.294
30-08-2003,220.064,1284.11,33087.9,180,59.13,298.179,400,2285.45,2511.61,4865.09,223.6,17226.8,0
31-08-2003,100.89,650,9710.78,150,100,308,200,950,340,2920,440,7.152,0
01-09-2003,57.957,339.121,4975.31,218,170,275.6,1653.25,790.956,209.461,954.147,335.3,0,0
02-09-2003,50.319,2800.76,4561.46,250,292.63,1919,1260,2823.77,1080.45,936.348,800.9,0,2994.96
03-09-2003,275.47,2000,12267.9,280,102.56,961.8,600,2332.43,1621.2,2909.35,650.9,5005.83,3808.96
04-09-2003,140.234,900,12090.3,180,64.86,625.3,400,1410.24,1417.03,2719.99,575,4517.45,0
05-09-2003,77.186,700,5760.52,130,68.79,400,275,915.169,445.167,1430.47,515.121,0,3170.83
06-09-2003,61.61,1467.24,4200,183,149.03,490,700,512.284,378.888,653.096,526.5,0,1865.33
07-09-2003,50,2500,9000,198,350,1200,1250,1350,6840,525,500,106.22,1832.92
08-09-2003,97.231,6731.39,11011.6,220,184.76,961.526,850,1800.57,1164.67,1002.44,650.7,270.29,4792.71
09-09-2003,65,3101.95,7000,260,195.39,867.681,400,1326.78,457.873,1807.86,575.2,0,4268.31
10-09-2003,63.67,2929.68,5329.27,464.413,111.48,560.4,300,1344.68,266.445,1029.01,456,0,3063.11
11-09-2003,39.497,3407.54,5503.37,390.901,590.07,600.6,250,947.703,205.292,703.039,390.9,0,2061
12-09-2003,32.439,1267.31,3500,257,153.5,633.5,215.061,526.334,126.667,551.968,425,0,1910.32
13-09-2003,30.727,817.168,2487.54,202,146.36,450.5,230,535.599,123.541,507.004,347.7,0,801.836
14-09-2003,35,1300.5,3000,324.44,500,700,560,1500,1000,500,600,0,1024.21
15-09-2003,90.477,1493.04,5800,375.963,136.52,540.3,239,958.09,610.242,511.93,483.9,1564.72,2282.2
16-09-2003,37.09,939.789,4000,290,82.14,275.1,194.002,431.353,275.104,405.341,332.9,516.385,2764.73
17-09-2003,25.096,869.93,2460.38,270,56.36,245.6,141.02,392.366,174.045,323.114,277.4,0,1526.67
18-09-2003,30,1500.62,2122.42,257.105,138.91,275,184.62,357.769,117.512,269.693,262.4,0,905.012
19-09-2003,30.076,2000.66,2281.51,234.194,76.37,268.7,207.782,386.628,170.395,274.423,426.1,0,777.074
20-09-2003,26.003,894.11,2537.58,194,106.75,213.1,191.88,379.11,162.146,296.012,314.6,288.998,899.748
21-09-2003,33,550,1744,165,120,268,160,421,140,375,275,69.905,711.729
22-09-2003,39.315,550,1791.35,194,160,340.5,132.01,421.009,101.883,371.309,451.9,203.334,184.87
23-09-2003,28.595,800.721,2171.04,206,198.95,648.9,206.901,399.208,126.476,330.748,504.6,296.8,663.616
24-09-2003,27.255,653.429,1864.78,160,108.06,350.2,144.006,374.965,133.003,412.423,449.1,44.887,766.805
25-09-2003,45.927,474.057,1842.49,200,54.69,231.2,110.24,362.956,82.808,691.437,290.1,264.423,528.429
26-09-2003,28.415,449.905,1809.31,120,35.56,194.8,93.892,409.484,82.808,526.272,273.7,133.439,257.533
27-09-2003,22,251.158,1629.31,111.27,66.49,178.4,147.198,396.156,75.782,398.862,236.1,110.937,488.147
28-09-2003,65,350,1481,118.41,85,182,218,350,60,500,260,74.446,307.631
29-09-2003,92.374,404.189,1494.86,140,300.82,603.4,145.269,558.879,104.211,791.061,415.3,15.98,0
30-09-2003,160.583,587.739,3234.47,155.068,208.58,350.7,90.474,450.705,280.934,993.756,625.6,1163.02,455.018
01-06-2004,0,121.571,66.529,0,0,0,0,0.244,0.8,6.825,0.795,0,23.907
02-06-2004,0,113.19,63.381,0,0,0,0,0.237,0.6,5.62,0.953,0,0
03-06-2004,0,129.878,92.753,0,0,0,0,0.317,0.6,4.208,0.98,0,0
04-06-2004,0,135,85.901,0,0,0,0,0.289,0.8,3.854,0.95,0,8.955
05-06-2004,0,122,93.522,0,0,0,0,0.315,0.6,3.892,0.96,0,0
06-06-2004,0,125,160,0,0,0,0,0.3,0.4,3,0.99,32.495,37.542
07-06-2004,0,118,260.745,0,0,0,0,0.284,0.4,3.337,0.731,135.492,6.9412
08-06-2004,0,113.19,136.77,0,0,0,0,0.256,0.3,4.487,0.782,16.674,0
09-06-2004,0,100,180.894,0,0,0,0,0.247,0.2,5.607,13.705,70.559,0
10-06-2004,0,122.753,123.64,0,0,0,0,0.228,0.6,5.538,8.994,5.023,0
11-06-2004,0,113.19,130.036,0,0,0,0,0.242,0.4,5.585,8.091,8.657,0
12-06-2004,0,115.32,124.484,0,0,0,0,5.216,0.2,5.461,3.063,5.544,0
13-06-2004,0,120,109,0,0,0,0,5,0.3,5.2,2.8,0,0
14-06-2004,0,98,109.686,0,0,5.8,0,12.34,0.4,5.125,10.324,0,27.506
15-06-2004,14.636,113.186,154.792,1,0,15.7,0,2345.54,910.728,24.481,10,0,172.138
16-06-2004,75,290,4922.74,8,0,14.26,0,1412.26,792.299,1370.3,10.522,2274.18,117.698
17-06-2004,22.508,125,3399.11,75,0,20.28,0,890.676,129.939,653.64,25.876,500.329,0
18-06-2004,14.659,124,2300,70,0,40.4,0,536.153,62.47,280.431,36.492,34.374,382.144
19-06-2004,8.452,100,1341.24,35,0,44.6,0,395.647,37.691,130.936,26.89,0,374.996
20-06-2004,5.673,70,1000,15,0,44.5,0,270,38,100,20.32,82.709,137.574
21-06-2004,2.926,113.19,750,30,0,128.3,0,247.293,16.588,73.929,18.312,95.818,0
22-06-2004,2.625,135.431,770,7.8,0,94.5,0,205.264,12.136,53.6,16.653,226.986,0
23-06-2004,1.685,125,627.762,8,0,63,0,63.08,9.875,41.997,15.118,160.316,0
24-06-2004,1.354,133.115,496.16,6,0,113.9,0,45.396,10.371,39.5,12.34,135.435,0
25-06-2004,0.742,132,468.049,5.5,0,180.2,0,31.009,6.188,33.587,11.028,211.039,0
26-06-2004,1.377,110.237,454.111,5.2,0,160.56,0,32.161,5.21,29.541,9.913,241.308,0
27-06-2004,1.45,160,350,5,0,126.6,0,30.12,5,27,8.5,124.735,0
28-06-2004,5.414,145,349.881,6,0,112.5,0,42.897,4.779,23.229,7.608,124.257,0
29-06-2004,3.422,124,350.105,3.5,0,94.5,0,44.51,4.635,19.006,4.334,142.568,0
30-06-2004,2.06,53.459,340.718,4,0,78.6,0,36.62,8.572,21.088,4.863,178.797,0
01-07-2004,3.681,108.895,332.47,2.48,0,5.12,0,39.258,7.721,12.917,0.084,163.375,0
02-07-2004,5.728,97.117,357.246,4,0,7.3,0,46.305,12.92,22.506,20.028,180.775,0
03-07-2004,8.162,153.393,355.35,3.319,22,25.447,0,43.703,11.648,165.429,5.085,141.349,0
04-07-2004,9,170,362,28,5,22,0,185,14,110,25.03,114.339,0
05-07-2004,5.231,162.399,1200,45,8,20.775,0,250.483,185.75,97.272,62.107,639.932,0
06-07-2004,8.896,90,1400,44,6,46.279,0,102.181,105.543,87.628,52.707,778.022,0
07-07-2004,9.714,131.933,900,50,5,42.284,0,47.919,42.534,56.418,59.323,380.596,318.217
08-07-2004,10.855,90,600,25,116.63,108.486,0,48.694,23.107,40.098,93.654,245.948,215.343
09-07-2004,8.877,104.966,700,40,56.42,65.587,0,51.992,28.309,37.532,200.331,417.539,225.55
10-07-2004,5.06,93.491,500.395,5.402,39.54,63.151,0,39.14,26.297,41.581,147.121,233.38,205.64
11-07-2004,3,140,480,4.45,34,63,0,28,43,38,98.5,206.141,272.63
12-07-2004,2.692,164.403,503.119,10,12.72,48.19,0,24.464,46.467,25.052,101.126,215.536,95.652
13-07-2004,2.083,183.433,480,16,9.74,41.756,0,42.383,44.324,24.049,75.635,179.819,200.64
14-07-2004,5.583,117.012,415.961,6,13.03,42.658,0,38.425,95.122,43.414,65.53,124.062,191.081
15-07-2004,7.785,56.929,446.314,4,60.75,46.451,0,48.874,71.927,59.462,62.119,205.194,144.089
16-07-2004,20.881,51.729,366.936,9,55.21,49.633,0,197.902,47.527,76.251,150.03,169.143,369.614
17-07-2004,18.051,115.543,406.547,8,90.42,118.7,0,157.884,31.202,1210.82,154.723,91.851,494.706
18-07-2004,14,135,800,7.03,40,66,0,100,30,1150,225.9,0,460.208
19-07-2004,6.302,88.703,2100,35,51.73,99.844,0,84.704,17,500.671,141.219,698.25,149.07
20-07-2004,3.806,105,1025.45,23,36.68,70.502,0,50.802,14.805,250.305,110.082,0,469.927
21-07-2004,3.454,219.426,709.091,4,39.67,70.232,0,161.553,13.058,160.01,91.203,0,248.378
22-07-2004,2.194,89.785,512.195,9,29.35,68.62,0,138.971,12.539,110.775,149.616,0,233.25
23-07-2004,2.41,91.463,538.222,9,32.37,118.75,0,42.034,26.157,87.188,102.065,104.559,166.312
24-07-2004,18.618,94.399,516.07,15,30.1,112.9,0,43.653,27.686,162.18,116.884,174.744,65.051
25-07-2004,15,100,560,4,35,108,0,45,13,225,140.32,279.698,101.761
26-07-2004,75,106.074,745.689,4,25.02,115.367,0,129.328,88.376,380.64,111.309,350.69,143.639
27-07-2004,28.384,83.571,900,4.762,22,87.869,0,361.152,100,380.354,110.97,306.599,187.955
28-07-2004,36.037,75,1010,23,56.21,122.713,0,194.253,118.194,700.29,269.647,158.64,292.221
29-07-2004,75,75,3707.44,35,34.49,134.097,0,975.743,865.533,1210.68,300.225,2123.89,368.154
30-07-2004,56.122,116.898,4392.34,50,33.08,224.177,0,1016.08,300.634,1696.61,200,2142.57,41.853
31-07-2004,60.426,372.533,4200,95,113.55,368.18,0,709.699,155.636,1100.94,600,1132.14,484.492
01-08-2004,38,175,3400,32,73.01,351.5,58,600,110,675,550.12,769.324,1006.93
02-08-2004,20.593,128.134,2400,20.167,34.29,200.15,31.226,299.091,76.722,400.309,314.861,534.356,598.857
03-08-2004,12.586,122,1492.93,15.63,150.47,200.42,35.381,140.713,39.007,270.94,308.283,221.049,66.467
04-08-2004,9.145,270,1364.09,13.479,72.3,200.35,78.33,483.382,80,220.277,200,420.625,327.385
05-08-2004,18,144.462,1000,35,39.18,163.5,61.776,464.094,142,349.516,161.661,124.43,354.972
06-08-2004,40.616,173.152,1400,20,39.35,152.13,87.304,714.807,103.907,802.145,125.822,340.437,230.58
07-08-2004,26.287,299.472,2500,15.594,110,198.35,250.37,588.046,82.503,615.309,400.32,955.61,0
08-08-2004,45,1060,2653,275,950,970,550,715,75,400,802,285.51,3473.88
09-08-2004,383.585,1300,6023.65,325.75,486.05,850.3,320.827,1406.54,275,557.373,1112.35,3084.24,5143.97
10-08-2004,164.274,605,7019.15,200,674.04,800.37,375.445,1126.61,300,990.182,546.148,3706.92,5839.93
11-08-2004,94.683,506.761,5192.11,225.432,458.6,1544.9,275.703,1285.01,260.045,1131.57,464.659,1935.27,4668.37
12-08-2004,64.257,4691,4900.1,165,1403,1909.77,700,1073.49,245.215,844.466,900.12,0,2788.06
13-08-2004,118.515,2354.37,6100.13,444.021,562.42,850.34,323.051,930.527,170,670.78,713.659,590.122,5126.83
14-08-2004,55,1894.17,5542.58,400.23,168.96,350,300.477,640.74,135,507.267,503.02,1149.87,4124.57
15-08-2004,44,1950,4012.5,375,100,400.45,175,500,105,350,680.6,135.997,2232.04
16-08-2004,46.046,1100,3750,230.423,65.58,212.63,100.5,313.52,93.954,263.59,443.5,903.655,788.868
17-08-2004,33.815,606.645,2231.75,150,41.69,180.14,90.919,268.012,55.996,243.512,336.712,399.3,928.426
18-08-2004,24.738,472.722,1635.09,120,71.45,171.39,200,107.16,40.323,203.029,500.283,322.921,417.672
19-08-2004,21.613,490.942,1207.67,95,91.92,157.18,110.235,71.387,39.22,183.014,350.042,104.696,492.521
20-08-2004,22.502,573.193,1010,90,58.45,153.98,150.399,84.279,30.43,203.319,323.493,14.189,242.782
21-08-2004,17.667,1361.42,2117.94,85.862,83.23,160,300.272,104.336,101.404,237.706,298.942,494.416,880.312
22-08-2004,19,600,3000,99.21,400,302.12,300,1800,400,300,450.2,1485.68,1023.5
23-08-2004,193.734,828.152,4826.65,168,160.6,290,200.418,3003.24,449.744,880.434,485.901,1973.89,1189.09
24-08-2004,85,1049.4,7890.56,120,71.76,218.66,98.538,1500.9,248.545,970.773,382.19,3114,342.383
25-08-2004,52.643,516.853,4016.75,82.585,41.87,195.66,90.7,821.283,132.243,611.558,274.043,149.781,624.546
26-08-2004,40.365,438.748,2870.56,70.716,33.1,107.77,75.741,329.844,112.84,400.359,211.932,363.437,376.913
27-08-2004,29.763,410.959,2000.53,60,27.55,95.3,68.583,311.175,58.889,319.8,164.445,266.187,0
28-08-2004,21.014,392.158,1400,51.873,26.7,85.9,60.412,139.08,56.756,225.473,145.669,122.115,0
29-08-2004,18,300,1121,45.5,25,73.61,60,90,30,190,141.56,147.08,0
30-08-2004,14.021,267.789,900,40,15.87,66.38,60.976,69.756,20.407,153.465,79.303,193.724,0
31-08-2004,11.132,237.599,848.871,32.728,14.23,60.32,74.316,47.326,15.818,99.911,77.591,263.858,0
01-09-2004,9.382,245.921,540,34,13.73,62.54,70.173,40.079,14.66,87.086,114.927,28.704,0
02-09-2004,8.635,230.683,452,40,17.82,67.118,60.839,37.064,14.299,84.154,104.689,5.284,119.206
03-09-2004,9.593,267.305,450,39,23.26,64.483,72.252,45.759,22.93,77.21,206.684,0,122.27
04-09-2004,12.824,280,575,70,23.21,71.072,60.457,175.815,21.084,79.459,305.489,100.707,96.958
05-09-2004,8.5,285,700,65,50,95,59,480,175,105,245,33.091,51.567
06-09-2004,8.221,260,1200,38,20.53,73.656,70.717,230.321,111,263.138,167.309,352.719,33.923
07-09-2004,8,220,1100,31,14.5,65,55.805,130,60,240,90,220.128,0
08-09-2004,13.832,225,950,37,13.86,53.938,40.598,103.876,30.602,220.101,77.826,209.087,62.752
09-09-2004,7.57,191,800,33.76,11.21,48.173,38.937,71.843,20.513,202.29,62.721,175.944,0
10-09-2004,6.132,218,675,8,11.1,44.467,36.488,64.851,15.506,170.823,60.11,99.362,40.982
11-09-2004,5.428,190,625,27.459,9.72,41.721,37.712,58.334,12.755,140.062,56.589,126.242,290.564
12-09-2004,5,185,505,15.68,14.5,63,94,125,11,170,86.6,48.139,10.057
13-09-2004,6.198,135,500,8,10.88,49.048,62.869,90.877,10.237,231.026,120.407,73.374,113.679
14-09-2004,5.009,110,750,20,13.6,46.602,71.532,87.565,19.933,212.305,96.912,312.26,107.42
15-09-2004,3.261,93.012,650,9,11.32,44.289,42.417,69.909,18.187,179.449,78.694,200.181,0
16-09-2004,18.63,91.065,500,2,10.81,46.365,38.911,50.923,14.064,173.82,67.797,92.908,34.787
17-09-2004,9.487,74.914,475,8,9.61,44.637,36.3,47.025,10.315,150.88,55.081,130.341,27.533
18-09-2004,10.372,71.544,405,9,8.28,44.485,33.658,51.968,9.758,130.418,47.526,81.936,0
19-09-2004,6,71,350,8.09,8,44,59,40,7,128,78.9,51.215,173.645
20-09-2004,4.644,78.32,350,7.685,7.84,45.348,70.918,27.872,7.735,97.006,843.36,69.846,0
21-09-2004,4.644,78.688,350,30,10.12,302.163,70.405,27.059,8.169,95.725,424.269,90.139,245.759
22-09-2004,71.895,78.32,380,55,7.92,186.647,45.613,141.529,8.977,129.468,260.275,131.946,336.738
23-09-2004,25.871,120,725,30,7.6,143.759,40.184,48.611,11.035,175.542,193.222,355.868,30.87
24-09-2004,19.869,88,625,60,7.42,110.72,37.064,39.275,13.919,171.948,168.395,196.831,0
25-09-2004,18.466,125,575,40,14.27,114.927,33.92,47.373,13.162,180.152,225.401,153.623,18.217
26-09-2004,19,191,580,35,13,165,32.9,85,14,190,193.31,113.561,71.432
27-09-2004,43.59,150,700,39,12.38,122.331,31.926,57.658,14.095,361.691,223.928,218.904,0
28-09-2004,20.854,78.322,775,20.065,11.05,124.728,60.566,45.701,17.043,332.089,181.668,282.277,17.565
29-09-2004,17.8,71.54,850,35,10.25,115.662,50.25,45.492,15.854,257.379,192.567,313.098,0
30-09-2004,13.951,82.65,650,18.309,8.2,118.381,42.895,54.175,15.187,199.778,113.452,148.542,87.521
01-06-2005,0.23,62.645,39.566,1.115,0,0,0,1.054,0,1.285,0,0,0
02-06-2005,0.23,103.858,41.419,1.115,0,0,0,1.106,0,0.916,0,0,0
03-06-2005,0.23,100.235,55.193,1.115,0,0,0,1.715,0,0.892,0,0,0
04-06-2005,0.23,45,48.707,1.115,0,0,0,1.724,0,0.656,0,0,0
05-06-2005,0.23,120,39,1.115,0,0,0,1.724,0,0.656,0,0,0
06-06-2005,0.23,45,43.239,1.115,0,0,0,1.945,0,0.648,0,0,8.4543
07-06-2005,0.23,45,41.366,1.115,0,0,0,2.099,0,1.248,0,0,0
08-06-2005,0.23,50,45.778,1.115,0,0,0,2.106,0,1.25,0,0,0
09-06-2005,0.23,101.425,38.17,1.115,0,0,0,2.121,0,1.278,0,0,0
10-06-2005,0.23,127.406,47.189,1.115,0,0,0,2.068,0,1.256,0,0,0
11-06-2005,0.23,62.201,70.344,1.115,0,0,0,1.303,0,1.102,0,0,79.14
12-06-2005,0.23,140,38,1.115,0,0,0,0.9,0,0.89,0,0,0
13-06-2005,0.23,106.77,77.555,1.115,0,0,0,0.57,0,0.889,0,0,0
14-06-2005,0.23,37.968,72.994,1.115,0,0,0,0.534,0,0.874,0,0.779,2.1794
15-06-2005,1.2,111.06,40.467,1.115,0,0,0,0.525,0,0.843,0,0,0
16-06-2005,1.2,125.951,200,3,0,0,0,0.675,0,3.263,0,76.466,101.616
17-06-2005,1.2,82.425,90.636,1,10,0,0,0.665,0,7.181,0,0,0
18-06-2005,1.2,100,43.725,0.7,12,0,0,0.506,0,5.687,0,0,0
19-06-2005,1.2,110,75,0.8,11,0,0,0.55,0,5,0,0,0
20-06-2005,1.2,96.046,94.726,3,12,0,0,0.516,0,4.624,0,0,0
21-06-2005,1.2,69.189,55.216,1.5,14,0,0,0.444,0,4.038,0,0,1.9273
22-06-2005,1.2,92.057,50.766,1,14,0,0,0.527,0,4.132,0,0,2.8492
23-06-2005,3.037,110,63.428,3,15,0,0,0.572,0,3.819,0,0,48.489
24-06-2005,24.595,87.432,97.046,2,16,100.686,0,1.111,2.5,3.536,6.589,0,39.362
25-06-2005,8.103,96.18,52.527,6,17,51.65,0,1.066,0.5,3.667,5.803,0,0
26-06-2005,5,115,92,2,10,40.75,0,5,7.2,15,14,0,0
27-06-2005,25.05,75.489,66.311,15,15,37.8,0,6.267,2.3,13.394,40.088,0,0
28-06-2005,7.935,105,84.329,35,100.18,80.89,0,35.226,7,8.59,104.135,0,0
29-06-2005,3.325,119.942,499.634,259,200.18,240.999,1600,73.243,10.45,315.221,440.554,314.318,0
30-06-2005,21.988,875,2675.42,260,436.7,255.709,450,40.424,9.8,300.247,350.891,1612.89,2287.43
01-07-2005,41.069,350,2700,190,111.269,550.36,175,37.663,12,137.882,790.204,1600.75,980.743
02-07-2005,27.202,425,1826.92,120,48.753,532.898,150,20.077,21.686,116.245,525.293,906.07,778.694
03-07-2005,18,210,1400,70,80,313,130,15,11,230,650,781.449,390.886
04-07-2005,10.717,128.013,900,59,39.533,250.147,113.145,12.854,8,300,425.817,472.493,0
05-07-2005,7.679,109.249,900,51,31.882,205.995,137.148,10.394,7,130,296.729,446.441,216.81
06-07-2005,7.623,89.747,609.891,48.055,19.368,210.081,190,8.809,6.5,86.22,302.734,188.547,66.31
